HAS_DATA;PREFIXO;EMPRESA;HAS_QTD_LITROS;Tratando_Recalcula;Verifica_QTD_LITROS;HAS_ENCERRANTE_DEPOIS;HAS_ENCERRANTE_ANTES;Recalcula_QTD_LITROS;TANQUE;TER_DATA_ULTIMA_COMUNIC;TER_CODIGO;TER_IDENTIFICACAO_EMPRESA;BOM_CODIGO;CAR_CODIGO_ABASTECEDOR;VEI_CODIGO;VEI_OBSERVACAO;USU_CODIGO;HAS_ODOMETRO;KM_ANT;KM_PERCO
30/01/2025;0064159;21;143;99;ERRO;29959643;29959544;99;300;03/07/2025 07:59;109;10;43;null;1738;FJI-6994;null;572399;572201;198
30/01/2025;0063063;21;104;46;ERRO;20190389;20190343;46;600;03/07/2025 08:00;3;2;9;null;1870;EFW-0065;null;674848;674643;205
30/01/2025;0063076;21;168;120;ERRO;29128969;29128849;120;600;03/07/2025 08:00;1;1;31;null;1883;EFW-0086;null;614191;613989;202
30/01/2025;0063355;27;131;0;ERRO;null;null;null;600;03/07/2025 08:00;110;4;62;4124;2081;ENZ-9209;110;509191;508984;207
30/01/2025;0063341;27;147;48;ERRO;6898606;6898558;48;600;03/07/2025 08:00;110;4;62;4124;2047;FZF-1844;110;522463;522463;0
30/01/2025;0063183;21;190;0;ERRO;null;null;null;500;03/07/2025 07:59;2;3;27;4124;1787;GIW-6030;110;515091;514807;284
30/01/2025;0063628;21;163;101;ERRO;25284358;25284257;101;500;03/07/2025 08:00;3;2;8;null;2466;FRO-0016;null;271447;271211;236
30/01/2025;0064391;21;157;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;43;2751;2220;EZZ-0948;112;369471;369219;252
30/01/2025;0064400;21;163;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;43;2751;2234;EPA-3284;112;363807;363542;265
30/01/2025;0063663;21;139;102;ERRO;18561494;18561392;102;500;03/07/2025 07:59;2;3;29;null;2550;GHN-8B56;null;213995;213777;218
30/01/2025;0063551;21;99;30;ERRO;29131367;29131338;30;500;03/07/2025 08:00;1;1;31;null;2758;STB-0C03;null;64123;64123;0
;;;;;;;;;;;;;;;;;;;;
31/01/2025;0006301;21;350;0;ERRO;null;null;null;275;03/07/2025 08:00;3;2;52;4114;974;EZL-0212;81;228210;229210;-1000
