Prefixo;Tipo_Frota;Empresa;Tanque
63179;PADRON 15m C/AR - SP;Sao Paulo;500
63180;PADRON 15m C/AR - SP;Sao Paulo;300
63181;PADRON 15m C/AR - SP;Sao Paulo;500
63182;PADRON 15m C/AR - SP;Sao Paulo;500
63183;PADRON 15m C/AR - SP;Sao Paulo;500
63184;PADRON 15m C/AR - SP;Sao Paulo;500
63185;PADRON 15m C/AR - SP;Sao Paulo;500
63186;PADRON 15m C/AR - SP;Sao Paulo;500
63187;PADRON 15m C/AR - SP;Sao Paulo;500
63188;PADRON 15m C/AR - SP;Sao Paulo;500
63189;PADRON 15m C/AR - SP;Sao Paulo;500
63190;PADRON 15m C/AR - SP;Sao Paulo;500
63191;PADRON 15m C/AR - SP;Sao Paulo;500
63192;PADRON 15m C/AR - SP;Sao Paulo;500
63193;PADRON 15m C/AR - SP;Sao Paulo;500
63194;ARTICULADO SP;Sao Paulo;600
63195;ARTICULADO C/ AR - SP;Sao Paulo;600
63196;ARTICULADO C/ AR - SP;Sao Paulo;600
63197;ARTICULADO C/ AR - SP;Sao Paulo;200
63198;ARTICULADO C/ AR - SP;Sao Paulo;600
63199;ARTICULADO C/ AR - SP;Sao Paulo;600
63200;ARTICULADO C/ AR - SP;Sao Paulo;600
63201;ARTICULADO C/ AR - SP;Sao Paulo;500
63202;ARTICULADO C/ AR - SP;Sao Paulo;600
63203;ARTICULADO C/ AR - SP;Sao Paulo;500
63204;ARTICULADO C/ AR - SP;Sao Paulo;500
63211;PADRON SP;Sao Paulo;600
63212;PADRON SP;Sao Paulo;600
63215;PADRON SP;Sao Paulo;600
63216;PADRON SP;Sao Paulo;600
63217;PADRON SP;Sao Paulo;600
63218;PADRON SP;Sao Paulo;600
63219;PADRON SP;Sao Paulo;600
63220;PADRON SP;Sao Paulo;600
63221;PADRON SP;Sao Paulo;600
63222;PADRON SP;Sao Paulo;600
63223;PADRON SP;Sao Paulo;600
63224;PADRON SP;Sao Paulo;600
63226;PADRON SP;Sao Paulo;600
63227;PADRON SP;Sao Paulo;600
63228;PADRON SP;Sao Paulo;600
63229;PADRON SP;Sao Paulo;600
63230;PADRON SP;Sao Paulo;600
63232;PADRON SP;Sao Paulo;600
63233;PADRON SP;Sao Paulo;600
63234;PADRON SP;Sao Paulo;600
63235;PADRON SP;Sao Paulo;600
63238;PADRON SP;Sao Paulo;600
63240;PADRON SP;Sao Paulo;600
63241;PADRON SP;Sao Paulo;600
63242;PADRON SP;Sao Paulo;600
63243;PADRON SP;Sao Paulo;600
63244;PADRON SP;Sao Paulo;600
